gene,tissue,median_tpm,unit,tissue_label
CD276,Cells_Cultured_fibroblasts,63.1836,TPM,Cells Cultured fibroblasts
CD276,Cervix_Ectocervix,54.0426,TPM,Cervix Ectocervix
CD276,Cervix_Endocervix,51.381,TPM,Cervix Endocervix
CD276,Adipose_Subcutaneous,46.6645,TPM,Adipose Subcutaneous
CD276,Artery_Aorta,41.7846,TPM,Artery Aorta
CD276,Artery_Tibial,39.6869,TPM,Artery Tibial
CD276,Uterus,35.6429,TPM,Uterus
CD276,Prostate,34.15,TPM,Prostate
CD276,Artery_Coronary,32.2758,TPM,Artery Coronary
CD276,Adrenal_Gland,32.0426,TPM,Adrenal Gland
CD276,Ovary,30.8814,TPM,Ovary
CD276,Bladder,30.8327,TPM,Bladder
CD276,Skin_Sun_Exposed_Lower_leg,30.1105,TPM,Skin Sun Exposed Lower leg
CD276,Breast_Mammary_Tissue,29.8546,TPM,Breast Mammary Tissue
CD276,Vagina,29.1365,TPM,Vagina
CD276,Nerve_Tibial,26.2861,TPM,Nerve Tibial
CD276,Lung,25.166,TPM,Lung
CD276,Minor_Salivary_Gland,24.7859,TPM,Minor Salivary Gland
CD276,Colon_Sigmoid,23.1577,TPM,Colon Sigmoid
CD276,Thyroid,22.2035,TPM,Thyroid
CD276,Skin_Not_Sun_Exposed_Suprapubic,21.9603,TPM,Skin Not Sun Exposed Suprapubic
CD276,Adipose_Visceral_Omentum,21.730999999999998,TPM,Adipose Visceral Omentum
CD276,Fallopian_Tube,21.4243,TPM,Fallopian Tube
CD276,Esophagus_Gastroesophageal_Junction,19.3277,TPM,Esophagus Gastroesophageal Junction
CD276,Esophagus_Muscularis,18.2938,TPM,Esophagus Muscularis
CD276,Colon_Transverse,17.1382,TPM,Colon Transverse
CD276,Heart_Atrial_Appendage,15.819,TPM,Heart Atrial Appendage
CD276,Pituitary,15.5867,TPM,Pituitary
CD276,Stomach,14.6081,TPM,Stomach
CD276,Testis,13.5879,TPM,Testis
CD276,Kidney_Medulla,13.4534,TPM,Kidney Medulla
CD276,Spleen,12.3153,TPM,Spleen
CD276,Liver,11.988,TPM,Liver
CD276,Small_Intestine_Terminal_Ileum,11.5452,TPM,Small Intestine Terminal Ileum
CD276,Heart_Left_Ventricle,9.54452,TPM,Heart Left Ventricle
CD276,Brain_Cortex,8.50582,TPM,Brain Cortex
CD276,Esophagus_Mucosa,8.36849,TPM,Esophagus Mucosa
CD276,Pancreas,7.76305,TPM,Pancreas
CD276,Brain_Cerebellum,7.66114,TPM,Brain Cerebellum
CD276,Brain_Frontal_Cortex_BA9,7.0024,TPM,Brain Frontal Cortex BA9
CD276,Kidney_Cortex,6.8261199999999995,TPM,Kidney Cortex
CD276,Brain_Cerebellar_Hemisphere,6.51684,TPM,Brain Cerebellar Hemisphere
CD276,Brain_Hypothalamus,6.01968,TPM,Brain Hypothalamus
CD276,Brain_Anterior_cingulate_cortex_BA24,5.4869699999999995,TPM,Brain Anterior cingulate cortex BA24
CD276,Brain_Nucleus_accumbens_basal_ganglia,5.26421,TPM,Brain Nucleus accumbens basal ganglia
CD276,Brain_Substantia_nigra,4.93332,TPM,Brain Substantia nigra
CD276,Brain_Spinal_cord_cervical_c-1,4.86458,TPM,Brain Spinal cord cervical c-1
CD276,Brain_Caudate_basal_ganglia,4.667730000000001,TPM,Brain Caudate basal ganglia
CD276,Brain_Amygdala,4.42506,TPM,Brain Amygdala
CD276,Brain_Putamen_basal_ganglia,3.62624,TPM,Brain Putamen basal ganglia
CD276,Muscle_Skeletal,3.43776,TPM,Muscle Skeletal
CD276,Brain_Hippocampus,3.33316,TPM,Brain Hippocampus
CD276,Cells_EBV-transformed_lymphocytes,1.50378,TPM,Cells EBV-transformed lymphocytes
CD276,Whole_Blood,0.0873562,TPM,Whole Blood
DLL3,Brain_Nucleus_accumbens_basal_ganglia,11.4287,TPM,Brain Nucleus accumbens basal ganglia
DLL3,Brain_Hypothalamus,8.55529,TPM,Brain Hypothalamus
DLL3,Brain_Amygdala,8.26758,TPM,Brain Amygdala
DLL3,Brain_Anterior_cingulate_cortex_BA24,6.841080000000001,TPM,Brain Anterior cingulate cortex BA24
DLL3,Brain_Caudate_basal_ganglia,6.46931,TPM,Brain Caudate basal ganglia
DLL3,Brain_Hippocampus,6.23939,TPM,Brain Hippocampus
DLL3,Brain_Frontal_Cortex_BA9,6.19583,TPM,Brain Frontal Cortex BA9
DLL3,Brain_Cortex,5.52691,TPM,Brain Cortex
DLL3,Brain_Putamen_basal_ganglia,5.45233,TPM,Brain Putamen basal ganglia
DLL3,Pituitary,4.95097,TPM,Pituitary
DLL3,Brain_Substantia_nigra,4.47772,TPM,Brain Substantia nigra
DLL3,Testis,3.2813199999999996,TPM,Testis
DLL3,Brain_Spinal_cord_cervical_c-1,3.14394,TPM,Brain Spinal cord cervical c-1
DLL3,Brain_Cerebellar_Hemisphere,2.88978,TPM,Brain Cerebellar Hemisphere
DLL3,Brain_Cerebellum,2.47372,TPM,Brain Cerebellum
DLL3,Cells_Cultured_fibroblasts,0.9083100000000001,TPM,Cells Cultured fibroblasts
DLL3,Cells_EBV-transformed_lymphocytes,0.609798,TPM,Cells EBV-transformed lymphocytes
DLL3,Ovary,0.30282800000000004,TPM,Ovary
DLL3,Thyroid,0.256331,TPM,Thyroid
DLL3,Spleen,0.181252,TPM,Spleen
DLL3,Nerve_Tibial,0.172254,TPM,Nerve Tibial
DLL3,Small_Intestine_Terminal_Ileum,0.14007,TPM,Small Intestine Terminal Ileum
DLL3,Vagina,0.104064,TPM,Vagina
DLL3,Cervix_Endocervix,0.091556,TPM,Cervix Endocervix
DLL3,Colon_Sigmoid,0.09125189999999998,TPM,Colon Sigmoid
DLL3,Colon_Transverse,0.08809299999999999,TPM,Colon Transverse
DLL3,Prostate,0.079686,TPM,Prostate
DLL3,Skin_Not_Sun_Exposed_Suprapubic,0.0737265,TPM,Skin Not Sun Exposed Suprapubic
DLL3,Skin_Sun_Exposed_Lower_leg,0.07277560000000001,TPM,Skin Sun Exposed Lower leg
DLL3,Cervix_Ectocervix,0.06830030000000001,TPM,Cervix Ectocervix
DLL3,Fallopian_Tube,0.0655193,TPM,Fallopian Tube
DLL3,Heart_Atrial_Appendage,0.055303,TPM,Heart Atrial Appendage
DLL3,Breast_Mammary_Tissue,0.055145000000000007,TPM,Breast Mammary Tissue
DLL3,Uterus,0.04833540000000001,TPM,Uterus
DLL3,Esophagus_Mucosa,0.0440834,TPM,Esophagus Mucosa
DLL3,Stomach,0.0437559,TPM,Stomach
DLL3,Lung,0.040051800000000005,TPM,Lung
DLL3,Artery_Coronary,0.0391889,TPM,Artery Coronary
DLL3,Adipose_Visceral_Omentum,0.0388576,TPM,Adipose Visceral Omentum
DLL3,Whole_Blood,0.0368003,TPM,Whole Blood
DLL3,Kidney_Medulla,0.0359045,TPM,Kidney Medulla
DLL3,Minor_Salivary_Gland,0.0356543,TPM,Minor Salivary Gland
DLL3,Kidney_Cortex,0.034390699999999996,TPM,Kidney Cortex
DLL3,Esophagus_Gastroesophageal_Junction,0.0338489,TPM,Esophagus Gastroesophageal Junction
DLL3,Bladder,0.0332957,TPM,Bladder
DLL3,Esophagus_Muscularis,0.0327363,TPM,Esophagus Muscularis
DLL3,Artery_Aorta,0.031630700000000005,TPM,Artery Aorta
DLL3,Artery_Tibial,0.029185900000000004,TPM,Artery Tibial
DLL3,Adrenal_Gland,0.0243343,TPM,Adrenal Gland
DLL3,Pancreas,0.0220525,TPM,Pancreas
DLL3,Adipose_Subcutaneous,0.0220145,TPM,Adipose Subcutaneous
DLL3,Muscle_Skeletal,0.016443400000000004,TPM,Muscle Skeletal
DLL3,Heart_Left_Ventricle,0.012968799999999999,TPM,Heart Left Ventricle
DLL3,Liver,0.00977902,TPM,Liver
EPCAM,Colon_Transverse,347.001,TPM,Colon Transverse
EPCAM,Small_Intestine_Terminal_Ileum,309.335,TPM,Small Intestine Terminal Ileum
EPCAM,Thyroid,260.149,TPM,Thyroid
EPCAM,Kidney_Medulla,171.549,TPM,Kidney Medulla
EPCAM,Pituitary,134.931,TPM,Pituitary
EPCAM,Minor_Salivary_Gland,127.824,TPM,Minor Salivary Gland
EPCAM,Kidney_Cortex,98.3609,TPM,Kidney Cortex
EPCAM,Pancreas,66.5135,TPM,Pancreas
EPCAM,Stomach,65.7655,TPM,Stomach
EPCAM,Lung,64.3906,TPM,Lung
EPCAM,Prostate,33.3043,TPM,Prostate
EPCAM,Testis,25.6497,TPM,Testis
EPCAM,Breast_Mammary_Tissue,15.6382,TPM,Breast Mammary Tissue
EPCAM,Esophagus_Mucosa,11.4704,TPM,Esophagus Mucosa
EPCAM,Skin_Sun_Exposed_Lower_leg,11.1625,TPM,Skin Sun Exposed Lower leg
EPCAM,Skin_Not_Sun_Exposed_Suprapubic,9.41819,TPM,Skin Not Sun Exposed Suprapubic
EPCAM,Brain_Nucleus_accumbens_basal_ganglia,8.74673,TPM,Brain Nucleus accumbens basal ganglia
EPCAM,Adrenal_Gland,8.41281,TPM,Adrenal Gland
EPCAM,Brain_Hypothalamus,7.089460000000001,TPM,Brain Hypothalamus
EPCAM,Brain_Caudate_basal_ganglia,6.8582,TPM,Brain Caudate basal ganglia
EPCAM,Brain_Putamen_basal_ganglia,5.65129,TPM,Brain Putamen basal ganglia
EPCAM,Brain_Spinal_cord_cervical_c-1,5.33552,TPM,Brain Spinal cord cervical c-1
EPCAM,Fallopian_Tube,5.20591,TPM,Fallopian Tube
EPCAM,Vagina,4.7633,TPM,Vagina
EPCAM,Brain_Amygdala,3.6072800000000003,TPM,Brain Amygdala
