gene,RNA_specificity,RNA_distribution,RNA_specific_nTPM,RNA_celltype_enrichment,Protein_specificity,Protein_distribution,Protein_specific_Intensity,IHC_reliability,Antibodies,Subcell_main,Subcell_loc
FOLH1,Tissue enhanced,Detected in many,"{""intestine"": ""250.9"", ""prostate"": ""71.4""}","[""Kidney - Proximal tubular cells"", ""Kidney - Proximal tubular cells"", ""Liver - Hepatocytes"", ""Lung - Fibroblasts_1"", ""Minor Salivary Gland - Minor salivary glandular cells"", ""Pancreas - Fibroblasts"", ""Prostate - Prostate glandular cells"", ""Stomach - Fibroblasts""]",Group enriched,Detected in many,"{""intestine"": ""9397246.8"", ""salivary gland"": ""18920755.3""}",Enhanced,"[""CAB001451"", ""HPA010593""]",,
STEAP1,Tissue enhanced,Detected in many,"{""prostate"": ""78.6""}","[""Kidney - Proximal tubular cells"", ""Prostate - Prostate glandular cells"", ""Testis - Spermatocytes"", ""Testis - Spermatogonia""]",Not detected,Not detected,,Uncertain,"[""HPA030985""]",,
STEAP2,Tissue enriched,Detected in many,"{""prostate"": ""119.9""}","[""Prostate - Prostate glandular cells"", ""Spleen - Endothelial cells""]",Group enriched,Detected in some,"{""cerebral cortex"": ""1544509.9"", ""fallopian tube"": ""2859626.8""}",Uncertain,"[""HPA029115"", ""HPA055603""]","[""Vesicles""]","[""Vesicles""]"
PSCA,Tissue enriched,Detected in many,"{""stomach 1"": ""3010.1""}","[""Lung - Respiratory ciliated cells"", ""Skin - Keratinocyte (granular)""]",Tissue enriched,Detected in many,"{""Stomach"": ""95023401.8""}",Approved,"[""HPA030783"", ""HPA056418""]","[""Plasma membrane""]","[""Plasma membrane""]"
HPN,Tissue enhanced,Detected in many,"{""kidney"": ""197.5"", ""liver"": ""849.7"", ""pancreas"": ""263.1""}","[""Breast - Breast glandular cells"", ""Breast - Breast glandular cells"", ""Heart muscle - Cardiomyocytes"", ""Kidney - Proximal tubular cells"", ""Lung - Alveolar cells type 2"", ""Pituitary gland - Corticotropes"", ""Prostate - Prostate glandular cells""]",Tissue enriched,Detected in some,"{""liver"": ""4620475.2""}",Approved,"[""HPA006804""]",,
TMPRSS2,Tissue enhanced,Detected in many,"{""prostate"": ""263.4"", ""stomach 1"": ""138.0""}","[""Colon - Colon enterocytes"", ""Kidney - Intercalated cells"", ""Lung - Alveolar cells type 2"", ""Prostate - Prostate glandular cells"", ""Skin - Eccrine sweat gland cells"", ""Stomach - Gastric mucous cells""]",Not detected,Not detected,,Enhanced,"[""HPA034493"", ""HPA035787""]","[""Plasma membrane""]","[""Plasma membrane""]"
TACSTD2,Tissue enhanced,Detected in many,"{""esophagus"": ""1245.4"", ""salivary gland"": ""585.3"", ""skin 1"": ""554.9""}","[""Liver - Cholangiocytes"", ""Pancreas - Ductal cells"", ""Skin - Keratinocyte (other)""]",Tissue enhanced,Detected in many,"{""lung"": ""22139708.2"", ""salivary gland"": ""23989590.1""}",Enhanced,"[""HPA043104"", ""HPA055067"", ""CAB072852""]","[""Plasma membrane""]","[""Nucleoli"", ""Vesicles"", ""Plasma membrane""]"
CD276,Low tissue specificity,Detected in many,,"[""Adipose subcutaneous - Adipose progenitor cells"", ""Adipose visceral - Adipose progenitor cells"", ""Breast - Fibroblasts"", ""Skin - Fibroblasts_2"", ""Spleen - Fibroblasts_1"", ""Thyroid gland - Fibroblasts""]",Tissue enhanced,Detected in many,"{""ovary"": ""12441216.3""}",Enhanced,"[""HPA009285"", ""HPA017139"", ""CAB017826""]","[""Vesicles""]","[""Vesicles""]"
EPCAM,Tissue enhanced,Detected in many,"{""intestine"": ""756.2""}","[""Breast - Breast glandular cells"", ""Colon - Colon enterocytes"", ""Liver - Cholangiocytes"", ""Lung - Alveolar cells type 2"", ""Minor Salivary Gland - Minor salivary glandular cells"", ""Skin - Eccrine sweat gland cells"", ""Testis - Spermatogonia"", ""Thyroid gland - Thyroid glandular cells""]",Tissue enhanced,Detected in many,"{""intestine"": ""20770505.4""}",Enhanced,"[""CAB003809"", ""HPA026761"", ""CAB030012"", ""CAB055098"", ""HPA067463""]","[""Plasma membrane""]","[""Plasma membrane""]"
DLL3,Tissue enriched,Detected in some,"{""brain"": ""27.1""}","[""Testis - Spermatogonia""]",Not detected,Not detected,,,"[""HPA024559"", ""HPA056533""]","[""Nucleoplasm""]","[""Nucleoplasm"", ""Golgi apparatus"", ""Plasma membrane""]"
