group,kind,n_samples,median_cov,n_malignant
AdPCa_AR+_2,cell_state,,0.36694465504169826,2638
AdPCa_AR+_1,cell_state,,0.35015341392185134,27051
AdPCa_Proliferating,cell_state,,0.1673913043478261,460
AdPCa_AR+_3,cell_state,,0.13131313131313133,198
AdPCa_ARlo,cell_state,,0.07436629175759611,5957
AdPCa_ARhi,cell_state,,0.057633196721311473,3904
NEPCa,cell_state,,0.0003712411830219032,8081
Progenitor_like,cell_state,,0.0003337226764558652,5993
KRT7,cell_state,,0.0,1937
CSPC,disease,1.0,0.4844053126399045,6701
AdPC,disease,22.0,0.1795120800130693,5643
PCa_Cribriform,disease,2.0,0.1284117865277677,3051
Benign,disease,4.0,0.12499287708701351,1217
Normal_adj,disease,13.0,0.12,1882
Normal,disease,4.0,0.07720588235294118,381
CRPC,disease,9.0,0.058447488584474884,11127
mCRPC,disease,13.0,0.046634736576758255,26217
