activator,blocker,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,malignant_vs_benign,selectivity_xprostate
KLK2,CD70,NOT,18,0.9742590308189392,0.9846518,0.98429805,0.4296654,0.91555554,0.3375734,prostate gland,macrophage,0.12068965,testis,male germ cell,0.5549864,0.8639622
KLK2,SLC34A1,NOT,18,0.975737202167511,0.9866453,0.9867274,0.42985106,0.91555554,0.35518593,prostate gland,macrophage,0.12931034,testis,male germ cell,0.5567942,0.857335
KLK2,CEACAM5,NOT,18,0.9673518419265748,0.9858092,0.9839197,0.42688036,0.91555554,0.3561644,prostate gland,macrophage,0.12931034,testis,male germ cell,0.55892885,0.85649884
KLK2,MSLN,NOT,18,0.9619587361812592,0.98420584,0.9825164,0.40093517,0.9111111,0.34931508,prostate gland,macrophage,0.12931034,testis,male germ cell,0.58327067,0.8548955
KLK2,FOLR1,NOT,18,0.973122525215149,0.98327744,0.98369724,0.41648978,0.91555554,0.35225052,prostate gland,macrophage,0.12931034,testis,male germ cell,0.56678766,0.8539671
KLK3,CEACAM5,NOT,18,0.9638620674610138,0.98709625,0.98450255,0.43664092,0.8844444,0.5489237,prostate gland,macrophage,0.13422473,exocrine gland,duct epithelial cell,0.55045533,0.85287154
KLK2,GRPR,NOT,18,0.943013209104538,0.97691196,0.969473,0.42985106,0.90666664,0.35420746,prostate gland,macrophage,0.12931034,testis,male germ cell,0.5470609,0.84760165
KLK2,DLL3,NOT,18,0.9256756544113159,0.967374,0.9564848,0.4296654,0.8622222,0.35518593,prostate gland,macrophage,0.12820514,eye,adipocyte,0.53770864,0.8391689
KLK2,CDH16,NOT,18,0.975737202167511,0.9866453,0.9866558,0.42929405,0.91555554,0.35518593,prostate gland,macrophage,0.15384616,eye,adipocyte,0.55735123,0.83279914
KLK3,CDH16,NOT,18,0.9684430658817291,0.99048644,0.9872693,0.43661684,0.8844444,0.54990214,prostate gland,macrophage,0.16275167,large intestine,large intestine goblet cell,0.5538696,0.82773477
KLK3,SLC34A1,NOT,18,0.9684430658817291,0.99048644,0.9873409,0.4415292,0.8844444,0.54990214,prostate gland,macrophage,0.16275167,large intestine,large intestine goblet cell,0.5489572,0.82773477
KLK3,FOLR1,NOT,18,0.9591165900230407,0.9878027,0.9843108,0.43256992,0.8844444,0.5440313,prostate gland,macrophage,0.16275167,large intestine,large intestine goblet cell,0.55523276,0.825051
KLK3,CD70,NOT,18,0.9684430658817291,0.98709625,0.9849118,0.4415292,0.8844444,0.52250487,prostate gland,macrophage,0.16275167,large intestine,large intestine goblet cell,0.54556704,0.8243446
KLK3,MSLN,NOT,18,0.9684430658817291,0.98198724,0.98313004,0.43606156,0.8844444,0.54109585,prostate gland,macrophage,0.16107382,large intestine,large intestine goblet cell,0.5459257,0.82091343
KLK3,GRPR,NOT,18,0.9441621422767639,0.97035575,0.9700864,0.4415292,0.8755555,0.5479452,prostate gland,macrophage,0.16107382,large intestine,large intestine goblet cell,0.52882653,0.80928195
KLK3,DLL3,NOT,18,0.9256756544113159,0.97012264,0.9570984,0.43815652,0.8311111,0.5479452,prostate gland,macrophage,0.16275167,large intestine,large intestine goblet cell,0.5319661,0.80737096
KLK3,MUC1,NOT,18,0.6071404874324798,0.8772894,0.83570594,0.33385417,0.8666666,0.52641875,prostate gland,macrophage,0.12820514,eye,adipocyte,0.5434352,0.7490843
KLK2,MUC1,NOT,18,0.6071405291557312,0.87239844,0.83560634,0.3539515,0.89777774,0.33855188,prostate gland,macrophage,0.15384616,eye,adipocyte,0.5184469,0.7185523
KLK2,PSCA,NOT,18,0.46444441676139836,0.8192353,0.7339954,0.3435979,0.8488889,0.26223093,prostate gland,macrophage,0.12931034,testis,male germ cell,0.47563744,0.68992496
KLK3,PSCA,NOT,18,0.4644444346427918,0.8080498,0.7350096,0.34824818,0.81777775,0.46153846,prostate gland,mast cell,0.16107382,large intestine,large intestine goblet cell,0.4598016,0.646976
KLK2,NECTIN4,NOT,18,0.45860631465911866,0.7195411,0.68491626,0.35965407,0.8533333,0.34344423,prostate gland,macrophage,0.12931034,testis,male germ cell,0.359887,0.5902307
KLK2,CD276,NOT,18,0.5447822690010071,0.68891037,0.6734017,0.36389995,0.81333333,0.21037184,prostate gland,macrophage,0.11042345,testis,spermatocyte,0.32501042,0.5784869
