marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate,both_surface,on_frontier_all,on_frontier_surface,rank_surface
STEAP2,TMPRSS2,AND,18,0.8567099690437316,0.92616755,0.9173453,0.28188014,0.5733333,0.85128206,prostate gland,luminal cell of prostate epithelium,0.5467964,bladder organ,bladder urothelial cell,6,26663,3,10277,0.6442874,0.37937117,True,False,True,1
STEAP2,SLC45A3,AND,18,0.7847058713436127,0.89318085,0.8807719,0.13709486,0.5247525,0.50769234,prostate gland,luminal cell of prostate epithelium,0.03700486,lung,respiratory goblet cell,4,978,3,10277,0.756086,0.856176,True,False,True,2
GRPR,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,4.7659898e-05,exocrine gland,luminal epithelial cell of mammary gland,4.7659898e-05,exocrine gland,luminal epithelial cell of mammary gland,2,15332,2,15332,0.0,-4.7659898e-05,True,False,True,3
KLK3,KLK2,AND,18,0.9544214069843292,0.979899,0.97948784,0.26731372,0.85333335,0.6512821,prostate gland,luminal cell of prostate epithelium,0.013788065,exocrine gland,duct epithelial cell,4,3825,3,10277,0.7125853,0.96611094,False,True,False,4
STEAP2,KLK3,AND,18,0.9331927239894868,0.9528846,0.9516426,0.24643421,0.76,0.74358976,prostate gland,luminal cell of prostate epithelium,0.04098374,exocrine gland,duct epithelial cell,4,3825,3,10277,0.7064504,0.9119009,False,False,False,5
STEAP2,KLK2,AND,18,0.9123529374599456,0.959596,0.95175076,0.25324568,0.7822222,0.6820513,prostate gland,luminal cell of prostate epithelium,0.017045455,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.7063503,0.94255054,False,False,False,6
TMPRSS2,KLK3,AND,18,0.8936605334281922,0.9533675,0.9364455,0.23842168,0.60888886,0.78205127,prostate gland,luminal cell of prostate epithelium,0.115504965,exocrine gland,duct epithelial cell,4,3825,3,10277,0.7149458,0.8378625,False,False,False,7
TMPRSS2,KLK2,AND,18,0.8871572971343994,0.9500416,0.9366578,0.25265992,0.61777776,0.7,prostate gland,luminal cell of prostate epithelium,0.028409092,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.6973817,0.9216325,False,False,False,8
CD46,KLK3,AND,18,0.8532216548919678,0.94239265,0.92454505,0.32134533,0.65900385,0.7948718,prostate gland,luminal cell of prostate epithelium,0.16666667,exocrine gland,ionocyte,3,139,3,10277,0.6210473,0.77572596,False,False,False,9
CD46,KLK2,AND,18,0.8441307425498963,0.9355575,0.92312646,0.31277487,0.6915709,0.7076923,prostate gland,luminal cell of prostate epithelium,0.065519474,uterus,fibroblast,2,6311,3,10277,0.6227826,0.87003803,False,False,False,10
STEAP2,CD46,AND,18,0.8345638453960419,0.9141776,0.904412,0.3468404,0.5973597,0.86650604,prostate gland,luminal cell of prostate epithelium,0.6383317,bladder organ,bladder urothelial cell,6,26663,3,10277,0.56733716,0.2758459,True,False,False,11
TACSTD2,KLK2,AND,18,0.8293199419975281,0.9081054,0.8973642,0.34559816,0.6666667,0.61783135,prostate gland,luminal cell of prostate epithelium,0.025467671,exocrine gland,duct epithelial cell,4,3825,3,10277,0.5625072,0.8826377,False,False,False,12
TACSTD2,KLK3,AND,18,0.8293199419975281,0.9186233,0.89967376,0.3474717,0.6245211,0.6843374,prostate gland,luminal cell of prostate epithelium,0.16666667,exocrine gland,ionocyte,3,139,3,10277,0.5711516,0.75195664,False,False,False,13
SLC45A3,KLK2,AND,18,0.7962352991104126,0.91391945,0.89491737,0.1386409,0.55445546,0.5,prostate gland,luminal cell of prostate epithelium,0.0013772821,uterus,fibroblast,2,6311,3,10277,0.77527857,0.91254216,False,True,False,14
SLC45A3,KLK3,AND,18,0.7951764643192292,0.90750915,0.894212,0.13745324,0.57425743,0.4974359,prostate gland,luminal cell of prostate epithelium,0.00905184,exocrine gland,duct epithelial cell,4,3825,3,10277,0.7700559,0.8984573,False,False,False,15
SLC45A3,TMPRSS2,AND,18,0.7817188858985901,0.88737845,0.86947334,0.1374726,0.5412541,0.5051282,prostate gland,luminal cell of prostate epithelium,0.15440115,stomach,epithelial cell,3,1596,3,10277,0.7499058,0.7329773,True,False,False,16
