marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate,on_frontier
STEAP2,TMPRSS2,AND,18,0.8567099690437316,0.92616755,0.9173453,0.28188014,0.5733333,0.85128206,prostate gland,luminal cell of prostate epithelium,0.5467964,bladder organ,bladder urothelial cell,6,26663,3,10277,0.6442874,0.37937117,True
STEAP2,EPCAM,AND,18,0.7444593131542205,0.9251132,0.8895107,0.3291402,0.5379538,0.5773494,prostate gland,luminal cell of prostate epithelium,0.51103663,bladder organ,bladder urothelial cell,6,26663,3,10277,0.595973,0.41407657,True
STEAP1,CD46,AND,18,0.7388589084148407,0.8482089,0.82611465,0.3255635,0.5412541,0.68289155,prostate gland,luminal cell of prostate epithelium,0.448972,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5226454,0.39923692,True
STEAP1,STEAP2,AND,18,0.722748464345932,0.85459507,0.84674335,0.2530443,0.60888886,0.67421687,prostate gland,luminal cell of prostate epithelium,0.32668775,lung,respiratory goblet cell,4,978,3,10277,0.60155076,0.5279073,True
STEAP2,HPN,AND,18,0.5237797439098358,0.68848485,0.6769597,0.067239255,0.37777779,0.24871795,prostate gland,luminal cell of prostate epithelium,0.23038961,pancreas,type B pancreatic cell,2,102,3,10277,0.6212456,0.45809525,True
STEAP1,HPN,AND,18,0.4758865267038345,0.64734924,0.636146,0.06336045,0.3288889,0.2106024,prostate gland,luminal cell of prostate epithelium,0.16628249,liver,hepatocyte,4,7400,3,10277,0.5839888,0.48106676,True
FOLH1,HPN,AND,18,0.2479711145162582,0.5229412,0.5185651,0.026513025,0.36,0.22843373,prostate gland,luminal cell of prostate epithelium,0.09283841,liver,hepatocyte,4,7400,3,10277,0.49642813,0.43010277,True
STEAP1,TMEFF2,AND,18,0.0843448281288146,0.34136453,0.37651217,0.01603295,0.50666666,0.22820513,prostate gland,luminal cell of prostate epithelium,0.05882353,musculature,epithelial cell,2,48,3,10277,0.32533157,0.282541,True
TMEFF2,CD276,AND,18,0.0193138279020786,0.07210393,0.1322133,0.0041788844,0.08444444,0.101686746,prostate gland,luminal cell of prostate epithelium,0.05,tongue,taste receptor cell,2,29,3,10277,0.06792505,0.022103932,True
GRPR,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,4.7659898e-05,exocrine gland,luminal epithelial cell of mammary gland,4.7659898e-05,exocrine gland,luminal epithelial cell of mammary gland,2,15332,2,15332,0.0,-4.7659898e-05,True
STEAP2,CD46,AND,18,0.8345638453960419,0.9141776,0.904412,0.3468404,0.5973597,0.86650604,prostate gland,luminal cell of prostate epithelium,0.6383317,bladder organ,bladder urothelial cell,6,26663,3,10277,0.56733716,0.2758459,False
TMPRSS2,CD46,AND,18,0.7728453695774078,0.9036878,0.89184594,0.33922404,0.59292036,0.8947368,respiratory system,mucus secreting cell,0.8947368,respiratory system,mucus secreting cell,5,269,5,269,0.56446373,0.008950949,False
STEAP2,TACSTD2,AND,18,0.7675384461879731,0.89919615,0.8786433,0.36386633,0.5940594,0.6626506,prostate gland,luminal cell of prostate epithelium,0.64135087,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5353298,0.25784528,False
TMPRSS2,EPCAM,AND,18,0.749988853931427,0.92111707,0.87914777,0.33061022,0.59292036,0.8868093,colon,enterocyte of epithelium of large intestine,0.8868093,colon,enterocyte of epithelium of large intestine,3,3666,3,3666,0.59050685,0.034307778,False
TACSTD2,CD46,AND,18,0.7417129218578339,0.8714075,0.86302584,0.5312636,0.75287354,0.9468085,tongue,salivary gland cell,0.9468085,tongue,salivary gland cell,2,734,2,734,0.34014392,-0.07540101,False
TMPRSS2,TACSTD2,AND,18,0.7329230964183807,0.8844461,0.8665971,0.36478668,0.6017699,0.8947368,respiratory system,mucus secreting cell,0.8947368,respiratory system,mucus secreting cell,5,269,5,269,0.5196594,-0.010290742,False
EPCAM,CD46,AND,18,0.729623156785965,0.89309764,0.873204,0.4510433,0.6877395,0.9285714,exocrine gland,ionocyte,0.9285714,exocrine gland,ionocyte,3,139,3,139,0.44205433,-0.035473764,False
TACSTD2,EPCAM,AND,18,0.706855171918869,0.8844445,0.8547018,0.4903453,0.66283524,0.94736844,respiratory system,mucus secreting cell,0.94736844,respiratory system,mucus secreting cell,5,269,5,269,0.39409918,-0.06292397,False
STEAP1,TMPRSS2,AND,18,0.6998159348964691,0.84336674,0.8354623,0.24520615,0.49834985,0.67228913,prostate gland,luminal cell of prostate epithelium,0.4006279,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5981606,0.44273883,False
STEAP1,TACSTD2,AND,18,0.6886153995990754,0.83697397,0.80343926,0.34917158,0.5445545,0.5677108,prostate gland,luminal cell of prostate epithelium,0.4893328,lung,respiratory goblet cell,4,978,3,10277,0.4878024,0.34764117,False
STEAP1,EPCAM,AND,18,0.6673246264457703,0.8500061,0.8183596,0.29955268,0.48514852,0.4939759,prostate gland,luminal cell of prostate epithelium,0.4651635,lung,respiratory goblet cell,4,978,3,10277,0.5504534,0.3848426,False
STEAP4,TMPRSS2,AND,18,0.6284967541694642,0.75992846,0.754483,0.20920548,0.4977778,0.7106261,lung,pulmonary alveolar type 2 cell,0.7106261,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.55072296,0.04930234,False
STEAP2,STEAP4,AND,18,0.6226428925991059,0.74750125,0.7647225,0.18820721,0.60444444,0.56096387,prostate gland,luminal cell of prostate epithelium,0.5164285,lung,respiratory goblet cell,4,978,3,10277,0.55929404,0.23107278,False
STEAP2,CDH1,AND,18,0.5782584846019745,0.79834056,0.755785,0.26462483,0.50165015,0.8313253,prostate gland,luminal cell of prostate epithelium,0.636322,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5337157,0.16201854,False
STEAP4,TACSTD2,AND,18,0.5694117903709411,0.7073815,0.7285085,0.22888596,0.41777778,0.8144189,lung,respiratory goblet cell,0.8144189,lung,respiratory goblet cell,4,978,4,978,0.47849554,-0.107037425,False
STEAP2,ADAM9,AND,18,0.563034200668335,0.6241026,0.650079,0.18623257,0.36,0.62361443,prostate gland,luminal cell of prostate epithelium,0.57978976,bladder organ,bladder urothelial cell,6,26663,3,10277,0.43787003,0.044312835,False
STEAP4,EPCAM,AND,18,0.5588567316532135,0.7150738,0.72911626,0.21059114,0.40888888,0.77449083,lung,respiratory goblet cell,0.77449083,lung,respiratory goblet cell,4,978,4,978,0.5044827,-0.05941701,False
STEAP1,CDH1,AND,18,0.55695139169693,0.7405002,0.7024208,0.23567025,0.46534654,0.66361445,prostate gland,luminal cell of prostate epithelium,0.4547996,lung,respiratory goblet cell,4,978,3,10277,0.50482994,0.28570062,False
TMPRSS2,CDH1,AND,18,0.5550427615642548,0.74799836,0.7478435,0.2484402,0.49174917,0.8947368,respiratory system,mucus secreting cell,0.8947368,respiratory system,mucus secreting cell,5,269,5,269,0.49955815,-0.14673847,False
STEAP4,CD46,AND,18,0.5489636123180389,0.74184227,0.74061346,0.23770621,0.45333335,0.7941321,lung,pulmonary alveolar type 2 cell,0.7941321,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.5041361,-0.052289844,False
EPCAM,CDH1,AND,18,0.5441133677959442,0.8023088,0.7377853,0.31568104,0.5804598,0.9681159,small intestine,paneth cell of epithelium of small intestine,0.9681159,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.48662776,-0.16580713,False
CDH1,CD46,AND,18,0.541558301448822,0.78535354,0.74927926,0.34372824,0.60536397,0.9418148,bladder organ,bladder urothelial cell,0.9418148,bladder organ,bladder urothelial cell,6,26663,6,26663,0.4416253,-0.15646124,False
HPN,TMPRSS2,AND,18,0.5386032640933991,0.68848485,0.66942066,0.069638334,0.31111112,0.5831559,pancreas,pancreatic acinar cell,0.5831559,pancreas,pancreatic acinar cell,2,5482,2,5482,0.61884654,0.10532898,False
TMPRSS2,ADAM9,AND,18,0.5251153975725174,0.621022,0.6423183,0.16555873,0.37356323,0.8780488,respiratory system,mucus secreting cell,0.8780488,respiratory system,mucus secreting cell,5,269,5,269,0.45546326,-0.2570268,False
STEAP1,STEAP4,AND,18,0.5235070139169693,0.7402549,0.7067265,0.16820753,0.4977778,0.46650603,prostate gland,luminal cell of prostate epithelium,0.41342956,lung,respiratory goblet cell,4,978,3,10277,0.57204735,0.32682532,False
TACSTD2,CDH1,AND,18,0.5210726469755173,0.78616214,0.7294055,0.36740845,0.58429116,0.9578472,eye,corneal epithelial cell,0.9578472,eye,corneal epithelial cell,3,4179,3,4179,0.41875368,-0.17168504,False
HPN,CD46,AND,18,0.5066778749227524,0.6767677,0.65525824,0.090627685,0.28,0.61627233,pancreas,pancreatic acinar cell,0.61627233,pancreas,pancreatic acinar cell,2,5482,2,5482,0.58614004,0.060495377,False
CD46,ADAM9,AND,18,0.5055555760860443,0.61843336,0.6418931,0.2674296,0.46551725,0.9166667,respiratory system,mucus secreting cell,0.9166667,respiratory system,mucus secreting cell,5,269,5,269,0.35100377,-0.29823333,False
HPN,EPCAM,AND,18,0.5055243521928787,0.66570514,0.6573902,0.08326644,0.27555555,0.61259353,pancreas,pancreatic acinar cell,0.61259353,pancreas,pancreatic acinar cell,2,5482,2,5482,0.5824387,0.053111613,False
HPN,TACSTD2,AND,18,0.5003039509057998,0.6625,0.6491863,0.097997636,0.24,0.43678093,pancreas,pancreatic acinar cell,0.43678093,pancreas,pancreatic acinar cell,2,5482,2,5482,0.56450236,0.2257191,False
FOLH1,STEAP2,AND,18,0.4844780176877976,0.72646415,0.71068037,0.09115643,0.6711111,0.5820513,prostate gland,luminal cell of prostate epithelium,0.31578946,respiratory system,mucus secreting cell,5,269,3,10277,0.6353077,0.4106747,False
TACSTD2,ADAM9,AND,18,0.4819444477558136,0.602353,0.62271935,0.27689752,0.4559387,0.94736844,respiratory system,mucus secreting cell,0.94736844,respiratory system,mucus secreting cell,5,269,5,269,0.32545546,-0.34501547,False
STEAP4,CDH1,AND,18,0.4805882424116134,0.62217927,0.627548,0.18787831,0.32343236,0.77218866,lung,pulmonary alveolar type 2 cell,0.77218866,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.43430096,-0.1500094,False
EPCAM,ADAM9,AND,18,0.4743923991918564,0.625384,0.6296628,0.22131683,0.44252872,0.9268293,respiratory system,mucus secreting cell,0.9268293,respiratory system,mucus secreting cell,5,269,5,269,0.40406716,-0.3014453,False
FOLH1,TMPRSS2,AND,18,0.4732600957155228,0.73508483,0.7009976,0.094516516,0.52444446,0.68512094,small intestine,enterocyte of epithelium proper of duodenum,0.68512094,small intestine,enterocyte of epithelium proper of duodenum,4,13488,4,13488,0.6405683,0.04996389,False
FOLH1,CD46,AND,18,0.4679487198591233,0.73111653,0.6882131,0.09437658,0.51555556,0.7576271,small intestine,paneth cell of epithelium of small intestine,0.7576271,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.63673997,-0.026510596,False
STEAP1,ADAM9,AND,18,0.4608974277973175,0.59763515,0.6035572,0.17387335,0.31555554,0.5257831,prostate gland,luminal cell of prostate epithelium,0.423365,lung,respiratory goblet cell,4,978,3,10277,0.42376179,0.17427015,False
